accessed date,accessed datetime,time,time (bin),Day of the month,Day of the Week,Day Name,Weekend,Month,Month Name,SDoH,PHQ9,CAGE-AID,GAD7,Total Websites,SDoH Percentage,PHQ9 Percentage,CAGE-AID Percentage,GAD7 Percentage
2/5/2025,2025-02-05T19:50:35.8561700,19,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/11/2025,2025-02-11T12:39:11.4728610,12,6AM to 12PM,11,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/15/2025,2025-02-15T23:20:08.4452960,23,After 8PM,15,6,Saturday,Yes,2,February,0,0,0,0,1,0,0,0,0
2/15/2025,2025-02-15T23:20:10.0357840,23,After 8PM,15,6,Saturday,Yes,2,February,0,0,0,0,2,0,0,0,0
2/16/2025,2025-02-16T00:29:41.3746910,0,Before 6AM,16,0,Sunday,Yes,2,February,0,0,0,0,1,0,0,0,0
2/16/2025,2025-02-16T00:29:42.1135130,0,Before 6AM,16,0,Sunday,Yes,2,February,0,0,0,0,1,0,0,0,0
2/16/2025,2025-02-16T03:04:28.8457240,3,Before 6AM,16,0,Sunday,Yes,2,February,0,0,0,0,1,0,0,0,0
2/16/2025,2025-02-16T03:04:29.6450230,3,Before 6AM,16,0,Sunday,Yes,2,February,0,0,0,0,1,0,0,0,0
2/16/2025,2025-02-16T03:04:32.3057590,3,Before 6AM,16,0,Sunday,Yes,2,February,0,0,0,0,1,0,0,0,0
2/17/2025,2025-02-17T18:16:58.1411500,18,12PM to 8PM,17,1,Monday,No,2,February,0,0,0,0,1,0,0,0,0
2/17/2025,2025-02-17T18:16:59.5339360,18,12PM to 8PM,17,1,Monday,No,2,February,0,0,0,0,2,0,0,0,0
2/17/2025,2025-02-17T18:17:07.0300290,18,12PM to 8PM,17,1,Monday,No,2,February,0,0,0,0,2,0,0,0,0
2/19/2025,2025-02-19T13:33:28.6627290,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:33:49.5922810,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,5,0,0,0,0
2/19/2025,2025-02-19T13:33:50.7652530,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:34:24.8905640,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:34:27.3382030,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:34:40.0188340,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:34:41.8311110,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:34:43.4213140,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:34:59.3569340,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:52:42.3980810,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:52:47.9238990,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:52:50.5129630,13,12PM to 8PM,19,3,Wednesday,No,2,February,1,0,0,0,1,1,0,0,0
2/19/2025,2025-02-19T13:53:05.5461870,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,2,0,0,0,0
2/19/2025,2025-02-19T13:53:22.9457930,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,2,0,0,0,0
2/19/2025,2025-02-19T13:57:35.2157830,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:57:53.4093390,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:57:54.0342020,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:57:54.5936850,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:57:55.0733850,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:58:09.6268050,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:58:11.0510220,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:58:12.8094030,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:58:14.0342480,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:58:22.2418120,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:58:23.6638020,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:58:24.9940420,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:58:25.8185710,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:58:30.1039310,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/19/2025,2025-02-19T13:58:32.9465830,13,12PM to 8PM,19,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
