accessed datetime,year,month name,month number,day of month,weekday number,weekday name,weekend (y/n),hour,Hour (bins),Hour (for bin use),PHQ-9 (Sum by day),GAD-7 (Sum by day),SDoH (Sum by day),CAGE-AID (Sum by day),Total Websites (Sum by day),PHQ-9 Daily Sum / Website Sum,SDoH Daily Sum / Website Sum,GAD-7 Daily Sum / Website Sum,CAGE-AID Daily Sum / Website Sum
2025-04-24T09:49:33.5560000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.49,0,0,0,0,3,0,0,0,0
2025-04-24T09:49:35.2730000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.49,0,0,0,0,3,0,0,0,0
2025-04-24T09:50:12.6390000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.5,0,0,0,0,1,0,0,0,0
2025-04-24T09:50:14.1880000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.5,0,0,0,0,1,0,0,0,0
2025-04-24T09:50:23.0150000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.5,0,0,0,0,1,0,0,0,0
2025-04-24T09:50:34.7350000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.5,0,0,0,0,1,0,0,0,0
2025-04-24T09:50:39.8050000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.5,0,0,0,0,1,0,0,0,0
2025-04-24T09:50:43.6950000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.5,0,0,0,0,1,0,0,0,0
2025-04-24T09:50:46.1700000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.5,0,0,0,0,1,0,0,0,0
2025-04-24T09:50:59.4270000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.5,0,0,0,0,1,0,0,0,0
2025-04-24T09:51:21.1580000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.51,0,0,0,0,1,0,0,0,0
2025-04-24T09:52:06.6120000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.52,0,0,0,0,1,0,0,0,0
2025-04-24T09:53:38.3090000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.53,0,0,0,0,2,0,0,0,0
2025-04-24T09:53:50.7370000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.53,0,0,0,0,1,0,0,0,0
2025-04-24T09:53:53.7280000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.53,0,0,0,0,1,0,0,0,0
2025-04-24T09:54:16.2960000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.54,0,0,0,0,1,0,0,0,0
2025-04-24T09:54:17.7030000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.54,0,0,0,0,1,0,0,0,0
2025-04-24T09:54:29.7770000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.54,0,0,0,0,1,0,0,0,0
2025-04-24T09:54:33.4810000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.54,0,0,0,0,1,0,0,0,0
2025-04-24T09:54:34.3800000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.54,0,0,0,0,1,0,0,0,0
2025-04-24T09:54:36.6930000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.54,0,0,0,0,1,0,0,0,0
2025-04-24T09:54:57.0580000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.54,0,0,0,0,1,0,0,0,0
2025-04-24T09:55:08.8020000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.55,0,0,0,0,1,0,0,0,0
2025-04-24T09:55:14.7260000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.55,0,0,0,0,1,0,0,0,0
2025-04-24T09:55:18.6450000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.55,0,0,0,0,1,0,0,0,0
2025-04-24T09:55:19.7320000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.55,0,0,0,0,1,0,0,0,0
2025-04-24T09:55:20.7650000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.55,0,0,0,0,1,0,0,0,0
2025-04-24T09:55:29.7340000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.55,0,0,0,0,1,0,0,0,0
2025-04-24T09:56:07.1340000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.56,0,0,0,0,1,0,0,0,0
2025-04-24T09:56:08.1830000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.56,0,0,0,0,1,0,0,0,0
2025-04-24T09:56:12.2090000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.56,0,0,0,0,1,0,0,0,0
2025-04-24T09:56:14.2970000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.56,0,0,0,0,1,0,0,0,0
2025-04-24T09:56:17.4440000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.56,0,0,0,0,1,0,0,0,0
2025-04-24T09:56:20.4500000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.56,0,0,0,0,1,0,0,0,0
2025-04-24T09:56:24.0670000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.56,0,0,0,0,1,0,0,0,0
2025-04-24T09:56:27.0660000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.56,0,0,0,0,1,0,0,0,0
2025-04-24T09:56:28.7900000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.56,0,0,0,0,1,0,0,0,0
2025-04-24T09:56:32.2210000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.56,0,0,0,0,1,0,0,0,0
2025-04-24T09:56:35.8830000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.56,0,0,0,0,1,0,0,0,0
2025-04-24T09:56:39.6890000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.56,0,0,0,0,1,0,0,0,0
2025-04-24T11:16:35.4970000,2025,April,4,24,4,Thursday,No,11,Between 6AM and 12PM,11.16,0,0,0,0,2,0,0,0,0
2025-04-24T16:48:34.8990000,2025,April,4,24,4,Thursday,No,16,Between 12PM and 6PM,16.48,0,0,0,0,3,0,0,0,0
2025-04-24T17:20:04.8290000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.2,0,0,0,0,2,0,0,0,0
2025-04-24T17:20:37.5550000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.2,0,0,0,0,3,0,0,0,0
2025-04-24T17:20:38.0970000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.2,0,0,0,0,1,0,0,0,0
2025-04-24T17:20:38.7800000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.2,0,0,0,0,4,0,0,0,0
2025-04-24T17:25:27.8370000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.25,0,0,0,0,4,0,0,0,0
2025-04-24T17:28:25.1050000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.28,0,0,0,0,2,0,0,0,0
2025-04-24T17:28:28.2480000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.28,0,0,0,0,1,0,0,0,0
2025-04-24T17:28:29.3300000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.28,0,0,0,0,2,0,0,0,0
2025-04-24T17:28:32.2050000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.28,0,0,0,0,1,0,0,0,0
2025-04-24T17:28:34.4070000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.28,0,0,0,0,2,0,0,0,0
2025-04-24T17:29:44.1660000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.29,0,0,0,0,1,0,0,0,0
2025-04-24T17:30:17.9130000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.3,0,0,0,0,2,0,0,0,0
2025-04-24T17:30:18.6900000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.3,0,0,0,0,2,0,0,0,0
2025-04-24T17:30:24.0550000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.3,0,0,0,0,2,0,0,0,0
2025-04-24T17:30:26.0910000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.3,0,0,0,0,2,0,0,0,0
2025-04-24T17:30:28.2180000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.3,0,0,0,0,2,0,0,0,0
2025-04-24T17:30:34.4230000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.3,0,0,0,0,2,0,0,0,0
2025-04-24T17:53:49.9220000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.53,0,0,0,0,2,0,0,0,0
2025-04-24T17:53:53.5050000,2025,April,4,24,4,Thursday,No,17,Between 12PM and 6PM,17.53,0,0,0,0,2,0,0,0,0
